file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,155,css,1ea1c491,gsriram67,2026-04-27,20:48:30,-07:00,2026-04-27T20:48:30-07:00,0,12
style.css,156,css,1ea1c491,gsriram67,2026-04-27,20:48:30,-07:00,2026-04-27T20:48:30-07:00,1,12
style.css,157,css,1ea1c491,gsriram67,2026-04-27,20:48:30,-07:00,2026-04-27T20:48:30-07:00,1,14
style.css,158,css,1ea1c491,gsriram67,2026-04-27,20:48:30,-07:00,2026-04-27T20:48:30-07:00,0,0
style.css,159,css,1ea1c491,gsriram67,2026-04-27,20:48:30,-07:00,2026-04-27T20:48:30-07:00,1,14
style.css,160,css,1ea1c491,gsriram67,2026-04-27,20:48:30,-07:00,2026-04-27T20:48:30-07:00,0,0
style.css,161,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,0,0
style.css,162,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,0,8
style.css,163,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,1,10
style.css,164,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,1,16
style.css,165,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,1,5
style.css,166,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,0,0
style.css,167,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,0,0
style.css,168,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,0,5
style.css,169,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,1,10
style.css,170,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,1,55
style.css,171,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,1,4
style.css,172,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,1,18
style.css,173,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,1,16
style.css,174,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,1,23
style.css,175,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,1,14
style.css,176,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,1,17
style.css,177,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,0,0
style.css,178,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,1,10
style.css,179,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,2,10
style.css,180,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,2,16
style.css,181,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,2,8
style.css,182,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,1,0
style.css,183,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,0,0
style.css,184,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,1,5
style.css,185,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,2,8
style.css,186,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,2,9
style.css,187,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,2,27
style.css,188,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,2,15
style.css,189,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,2,17
style.css,190,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,2,19
style.css,191,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,1,0
style.css,192,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,0,0
style.css,193,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,1,0
style.css,194,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,2,8
style.css,195,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,1,0
style.css,196,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,0,0
style.css,197,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,0,0
style.css,198,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,0,15
style.css,199,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,1,14
style.css,200,css,ced2c2d0,gsriram67,2026-04-27,22:37:36,-07:00,2026-04-27T22:37:36-07:00,2,9
